交易對,進場時間,進場價,止盈價,加倉價,群組結果,共加倉次數,出場時間,判定說明,前根收盤比開盤,觸發時量倍數,② 爆量分支,進場價vs前高,觸發於第幾分鐘
NOM,2026-09-24 14:17,0.002779,0.00269563,0.00291795,止盈,,2026-09-24 14:24,,0.1595698925,0.7901093245,15分0.5倍,0.007614213198,17
BROCCOLI,2026-09-24 19:12,0.02867,0.0278099,0.0301035,止損,,2026-09-24 20:29,,0.1203369434,0.621929619,15分0.5倍,0.007378777231,12
AGT,2026-09-24 19:27,0.019584,0.01899648,0.0205632,止盈,,2026-09-24 23:23,,0.06028797538,1.01909723,30分1倍,0.01329745951,27
PHA,2026-09-24 20:03,0.05098,0.0494506,0.053529,止損,,2026-09-24 20:19,,0.0629970699,0.7304297907,15分0.5倍,0.0001961938395,3
BB,2026-09-24 22:37,0.01095,0.0106215,0.0114975,止盈,,2026-09-24 23:49,,0.07157057654,2.437114019,2倍,0.01388888889,37
RIVER,2026-09-25 00:16,1.278,1.23966,1.3419,止盈,,2026-09-25 10:47,,0.06688963211,1.912629796,30分1倍+15分0.5倍,0.001567398119,16
LAB,2026-09-25 00:21,0.06094,0.0591118,0.063987,止盈,,2026-09-25 06:20,,0.06563976895,0.6644694678,15分0.5倍,0.0003282994091,21
SAGA,2026-09-25 08:06,0.07862,0.0762614,0.082551,止盈,,2026-09-25 08:07,,0.07787302049,0.5542907342,15分0.5倍,0.03270721135,6
PLAY,2026-09-25 10:56,0.04057,0.0393529,0.0425985,止盈,,2026-09-25 11:35,,0.06444740346,2.466724962,2倍,0.0002465483235,56
MOVR,2026-09-25 13:03,0.974,0.94478,1.0227,止盈,,2026-09-25 13:23,,0.0723025584,0.6974887406,15分0.5倍,0.007238883144,3
PHA,2026-09-25 15:26,0.05717,0.0554549,0.0600285,止盈,,2026-09-25 15:58,,0.06047556637,1.017332551,30分1倍,0.001401296199,26
CASHCAT,2026-09-25 16:15,0.1726,0.167422,0.18123,止損,,2026-09-25 18:15,,0.06574827802,0.5128737627,15分0.5倍,0.009356725146,15
